"","agency_cd.x","site_no.x","dateTime","Flow_Inst","Flow_Inst_cd","tz_cd.x","agency_cd.y","site_no.y","Nitrate_mgl","X_99133_Inst_cd","tz_cd.y"
"29","USGS","02251767",2015-05-28 00:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"30","USGS","02251767",2015-05-28 01:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"31","USGS","02251767",2015-05-28 01:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"32","USGS","02251767",2015-05-28 01:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"33","USGS","02251767",2015-05-28 01:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"34","USGS","02251767",2015-05-28 02:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"35","USGS","02251767",2015-05-28 02:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"36","USGS","02251767",2015-05-28 02:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"37","USGS","02251767",2015-05-28 02:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"38","USGS","02251767",2015-05-28 03:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"39","USGS","02251767",2015-05-28 03:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"40","USGS","02251767",2015-05-28 03:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"41","USGS","02251767",2015-05-28 03:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"42","USGS","02251767",2015-05-28 04:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"43","USGS","02251767",2015-05-28 04:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"44","USGS","02251767",2015-05-28 04:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"45","USGS","02251767",2015-05-28 04:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"46","USGS","02251767",2015-05-28 05:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"47","USGS","02251767",2015-05-28 05:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"48","USGS","02251767",2015-05-28 05:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"49","USGS","02251767",2015-05-28 05:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"50","USGS","02251767",2015-05-28 06:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"51","USGS","02251767",2015-05-28 06:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"52","USGS","02251767",2015-05-28 06:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"53","USGS","02251767",2015-05-28 06:45:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"54","USGS","02251767",2015-05-28 07:00:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"55","USGS","02251767",2015-05-28 07:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"56","USGS","02251767",2015-05-28 07:30:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"57","USGS","02251767",2015-05-28 07:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"58","USGS","02251767",2015-05-28 08:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"59","USGS","02251767",2015-05-28 08:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"60","USGS","02251767",2015-05-28 08:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"61","USGS","02251767",2015-05-28 08:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"62","USGS","02251767",2015-05-28 09:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"63","USGS","02251767",2015-05-28 09:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"64","USGS","02251767",2015-05-28 09:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"65","USGS","02251767",2015-05-28 09:45:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"66","USGS","02251767",2015-05-28 10:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"67","USGS","02251767",2015-05-28 10:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"68","USGS","02251767",2015-05-28 10:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"69","USGS","02251767",2015-05-28 10:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"70","USGS","02251767",2015-05-28 11:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"71","USGS","02251767",2015-05-28 11:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"72","USGS","02251767",2015-05-28 11:30:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"73","USGS","02251767",2015-05-28 11:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"74","USGS","02251767",2015-05-28 12:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"75","USGS","02251767",2015-05-28 12:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"76","USGS","02251767",2015-05-28 12:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"77","USGS","02251767",2015-05-28 12:45:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"78","USGS","02251767",2015-05-28 13:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"79","USGS","02251767",2015-05-28 13:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"80","USGS","02251767",2015-05-28 13:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"81","USGS","02251767",2015-05-28 13:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"82","USGS","02251767",2015-05-28 14:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"83","USGS","02251767",2015-05-28 14:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"84","USGS","02251767",2015-05-28 14:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"85","USGS","02251767",2015-05-28 14:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"86","USGS","02251767",2015-05-28 15:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"87","USGS","02251767",2015-05-28 15:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"88","USGS","02251767",2015-05-28 15:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"89","USGS","02251767",2015-05-28 15:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"90","USGS","02251767",2015-05-28 16:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"91","USGS","02251767",2015-05-28 16:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"92","USGS","02251767",2015-05-28 16:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"93","USGS","02251767",2015-05-28 16:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"94","USGS","02251767",2015-05-28 17:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"95","USGS","02251767",2015-05-28 17:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"96","USGS","02251767",2015-05-28 17:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"97","USGS","02251767",2015-05-28 17:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"98","USGS","02251767",2015-05-28 18:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"99","USGS","02251767",2015-05-28 18:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"100","USGS","02251767",2015-05-28 18:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"101","USGS","02251767",2015-05-28 18:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"102","USGS","02251767",2015-05-28 19:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"103","USGS","02251767",2015-05-28 19:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"104","USGS","02251767",2015-05-28 19:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"105","USGS","02251767",2015-05-28 19:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"106","USGS","02251767",2015-05-28 20:00:00,37,"A","UTC","USGS","02251767",0.05,"A","UTC"
"107","USGS","02251767",2015-05-28 20:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"108","USGS","02251767",2015-05-28 20:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"109","USGS","02251767",2015-05-28 20:45:00,37,"A","UTC","USGS","02251767",0.04,"A","UTC"
"110","USGS","02251767",2015-05-28 21:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"111","USGS","02251767",2015-05-28 21:15:00,37,"A","UTC","USGS","02251767",0.04,"A","UTC"
"112","USGS","02251767",2015-05-28 21:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"113","USGS","02251767",2015-05-28 21:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"114","USGS","02251767",2015-05-28 22:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"115","USGS","02251767",2015-05-28 22:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"116","USGS","02251767",2015-05-28 22:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"117","USGS","02251767",2015-05-28 22:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"118","USGS","02251767",2015-05-28 23:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"119","USGS","02251767",2015-05-28 23:15:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"120","USGS","02251767",2015-05-28 23:30:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"121","USGS","02251767",2015-05-28 23:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"122","USGS","02251767",2015-05-29 00:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"123","USGS","02251767",2015-05-29 00:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"124","USGS","02251767",2015-05-29 00:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"125","USGS","02251767",2015-05-29 00:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"126","USGS","02251767",2015-05-29 01:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"127","USGS","02251767",2015-05-29 01:15:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"128","USGS","02251767",2015-05-29 01:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"129","USGS","02251767",2015-05-29 01:45:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"130","USGS","02251767",2015-05-29 02:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"131","USGS","02251767",2015-05-29 02:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"132","USGS","02251767",2015-05-29 02:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"133","USGS","02251767",2015-05-29 02:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"134","USGS","02251767",2015-05-29 03:00:00,39,"A","UTC","USGS","02251767",0.05,"A","UTC"
"135","USGS","02251767",2015-05-29 03:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"136","USGS","02251767",2015-05-29 03:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"137","USGS","02251767",2015-05-29 03:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"138","USGS","02251767",2015-05-29 04:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"139","USGS","02251767",2015-05-29 04:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"140","USGS","02251767",2015-05-29 04:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"141","USGS","02251767",2015-05-29 04:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"142","USGS","02251767",2015-05-29 05:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"143","USGS","02251767",2015-05-29 05:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"144","USGS","02251767",2015-05-29 05:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"145","USGS","02251767",2015-05-29 05:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"146","USGS","02251767",2015-05-29 06:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"147","USGS","02251767",2015-05-29 06:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"148","USGS","02251767",2015-05-29 06:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"149","USGS","02251767",2015-05-29 06:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"150","USGS","02251767",2015-05-29 07:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"151","USGS","02251767",2015-05-29 07:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"152","USGS","02251767",2015-05-29 07:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"153","USGS","02251767",2015-05-29 07:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"154","USGS","02251767",2015-05-29 08:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"155","USGS","02251767",2015-05-29 08:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"156","USGS","02251767",2015-05-29 08:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"157","USGS","02251767",2015-05-29 08:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"158","USGS","02251767",2015-05-29 09:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"159","USGS","02251767",2015-05-29 09:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"160","USGS","02251767",2015-05-29 09:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"161","USGS","02251767",2015-05-29 09:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"162","USGS","02251767",2015-05-29 10:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"163","USGS","02251767",2015-05-29 10:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"164","USGS","02251767",2015-05-29 10:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"165","USGS","02251767",2015-05-29 10:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"166","USGS","02251767",2015-05-29 11:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"167","USGS","02251767",2015-05-29 11:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"168","USGS","02251767",2015-05-29 11:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"169","USGS","02251767",2015-05-29 11:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"170","USGS","02251767",2015-05-29 12:00:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"171","USGS","02251767",2015-05-29 12:15:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"172","USGS","02251767",2015-05-29 12:30:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"173","USGS","02251767",2015-05-29 12:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"174","USGS","02251767",2015-05-29 13:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"175","USGS","02251767",2015-05-29 13:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"176","USGS","02251767",2015-05-29 13:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"177","USGS","02251767",2015-05-29 13:45:00,39,"A","UTC","USGS","02251767",0.04,"A","UTC"
"178","USGS","02251767",2015-05-29 14:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"179","USGS","02251767",2015-05-29 14:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"180","USGS","02251767",2015-05-29 14:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"181","USGS","02251767",2015-05-29 14:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"182","USGS","02251767",2015-05-29 15:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"183","USGS","02251767",2015-05-29 15:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"184","USGS","02251767",2015-05-29 15:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"185","USGS","02251767",2015-05-29 15:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"186","USGS","02251767",2015-05-29 16:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"187","USGS","02251767",2015-05-29 16:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"188","USGS","02251767",2015-05-29 16:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"189","USGS","02251767",2015-05-29 16:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"190","USGS","02251767",2015-05-29 17:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"191","USGS","02251767",2015-05-29 17:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"192","USGS","02251767",2015-05-29 17:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"193","USGS","02251767",2015-05-29 17:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"194","USGS","02251767",2015-05-29 18:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"195","USGS","02251767",2015-05-29 18:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"196","USGS","02251767",2015-05-29 18:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"197","USGS","02251767",2015-05-29 18:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"198","USGS","02251767",2015-05-29 19:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"199","USGS","02251767",2015-05-29 19:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"200","USGS","02251767",2015-05-29 19:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"201","USGS","02251767",2015-05-29 19:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"202","USGS","02251767",2015-05-29 20:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"203","USGS","02251767",2015-05-29 20:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"204","USGS","02251767",2015-05-29 20:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"205","USGS","02251767",2015-05-29 20:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"206","USGS","02251767",2015-05-29 21:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"207","USGS","02251767",2015-05-29 21:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"208","USGS","02251767",2015-05-29 21:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"209","USGS","02251767",2015-05-29 21:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"210","USGS","02251767",2015-05-29 22:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"211","USGS","02251767",2015-05-29 22:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"212","USGS","02251767",2015-05-29 22:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"213","USGS","02251767",2015-05-29 22:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"214","USGS","02251767",2015-05-29 23:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"215","USGS","02251767",2015-05-29 23:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"216","USGS","02251767",2015-05-29 23:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"217","USGS","02251767",2015-05-29 23:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"218","USGS","02251767",2015-05-30 00:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"219","USGS","02251767",2015-05-30 00:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"220","USGS","02251767",2015-05-30 00:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"221","USGS","02251767",2015-05-30 00:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"222","USGS","02251767",2015-05-30 01:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"223","USGS","02251767",2015-05-30 01:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"224","USGS","02251767",2015-05-30 01:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"225","USGS","02251767",2015-05-30 01:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"226","USGS","02251767",2015-05-30 02:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"227","USGS","02251767",2015-05-30 02:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"228","USGS","02251767",2015-05-30 02:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"229","USGS","02251767",2015-05-30 02:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"230","USGS","02251767",2015-05-30 03:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"231","USGS","02251767",2015-05-30 03:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"232","USGS","02251767",2015-05-30 03:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"233","USGS","02251767",2015-05-30 03:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"234","USGS","02251767",2015-05-30 04:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"235","USGS","02251767",2015-05-30 04:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"236","USGS","02251767",2015-05-30 04:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"237","USGS","02251767",2015-05-30 04:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"238","USGS","02251767",2015-05-30 05:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"239","USGS","02251767",2015-05-30 05:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"240","USGS","02251767",2015-05-30 05:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"241","USGS","02251767",2015-05-30 05:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"242","USGS","02251767",2015-05-30 06:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"243","USGS","02251767",2015-05-30 06:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"244","USGS","02251767",2015-05-30 06:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"245","USGS","02251767",2015-05-30 06:45:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"246","USGS","02251767",2015-05-30 07:00:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"247","USGS","02251767",2015-05-30 07:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"248","USGS","02251767",2015-05-30 07:30:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"249","USGS","02251767",2015-05-30 07:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"250","USGS","02251767",2015-05-30 08:00:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"251","USGS","02251767",2015-05-30 08:15:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"252","USGS","02251767",2015-05-30 08:30:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"253","USGS","02251767",2015-05-30 08:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"254","USGS","02251767",2015-05-30 09:00:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
"255","USGS","02251767",2015-05-30 09:15:00,41.1,"A","UTC","USGS","02251767",0.04,"A","UTC"
