"","X","agency_cd.x","site_no.x","dateTime","Flow_Inst","Flow_Inst_cd","tz_cd.x","agency_cd.y","site_no.y","Nitrate_mgl","X_99133_Inst_cd","tz_cd.y"
"82",82,"USGS",2250030,"2014-12-03 13:30:00",98.5,"A","UTC","USGS",2250030,0.25,"A","UTC"
"83",83,"USGS",2250030,"2014-12-03 13:45:00",87.5,"A","UTC","USGS",2250030,0.23,"A","UTC"
"84",84,"USGS",2250030,"2014-12-03 14:00:00",99,"A","UTC","USGS",2250030,0.22,"A","UTC"
"85",85,"USGS",2250030,"2014-12-03 14:15:00",99,"A","UTC","USGS",2250030,0.23,"A","UTC"
"86",86,"USGS",2250030,"2014-12-03 14:30:00",91.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"87",87,"USGS",2250030,"2014-12-03 14:45:00",80.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"88",88,"USGS",2250030,"2014-12-03 15:00:00",110,"A","UTC","USGS",2250030,0.23,"A","UTC"
"89",89,"USGS",2250030,"2014-12-03 15:15:00",76.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"90",90,"USGS",2250030,"2014-12-03 15:30:00",80.4,"A","UTC","USGS",2250030,0.24,"A","UTC"
"91",91,"USGS",2250030,"2014-12-03 15:45:00",84,"A","UTC","USGS",2250030,0.23,"A","UTC"
"92",92,"USGS",2250030,"2014-12-03 16:00:00",109,"A","UTC","USGS",2250030,0.22,"A","UTC"
"93",93,"USGS",2250030,"2014-12-03 16:15:00",107,"A","UTC","USGS",2250030,0.24,"A","UTC"
"94",94,"USGS",2250030,"2014-12-03 16:30:00",104,"A","UTC","USGS",2250030,0.23,"A","UTC"
"95",95,"USGS",2250030,"2014-12-03 16:45:00",102,"A","UTC","USGS",2250030,0.23,"A","UTC"
"96",96,"USGS",2250030,"2014-12-03 17:00:00",90.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"97",97,"USGS",2250030,"2014-12-03 17:15:00",79.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"98",98,"USGS",2250030,"2014-12-03 17:30:00",98.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"99",99,"USGS",2250030,"2014-12-03 17:45:00",82.9,"A","UTC","USGS",2250030,0.25,"A","UTC"
"100",100,"USGS",2250030,"2014-12-03 18:00:00",108,"A","UTC","USGS",2250030,0.25,"A","UTC"
"101",101,"USGS",2250030,"2014-12-03 18:15:00",108,"A","UTC","USGS",2250030,0.24,"A","UTC"
"102",102,"USGS",2250030,"2014-12-03 18:30:00",94,"A","UTC","USGS",2250030,0.24,"A","UTC"
"103",103,"USGS",2250030,"2014-12-03 18:45:00",109,"A","UTC","USGS",2250030,0.23,"A","UTC"
"104",104,"USGS",2250030,"2014-12-03 19:00:00",97.6,"A","UTC","USGS",2250030,0.24,"A","UTC"
"105",105,"USGS",2250030,"2014-12-03 19:15:00",108,"A","UTC","USGS",2250030,0.23,"A","UTC"
"106",106,"USGS",2250030,"2014-12-03 19:30:00",112,"A","UTC","USGS",2250030,0.23,"A","UTC"
"107",107,"USGS",2250030,"2014-12-03 19:45:00",105,"A","UTC","USGS",2250030,0.23,"A","UTC"
"108",108,"USGS",2250030,"2014-12-03 20:00:00",104,"A","UTC","USGS",2250030,0.23,"A","UTC"
"109",109,"USGS",2250030,"2014-12-03 20:15:00",108,"A","UTC","USGS",2250030,0.25,"A","UTC"
"110",110,"USGS",2250030,"2014-12-03 20:30:00",101,"A","UTC","USGS",2250030,0.24,"A","UTC"
"111",111,"USGS",2250030,"2014-12-03 20:45:00",78.4,"A","UTC","USGS",2250030,0.25,"A","UTC"
"112",112,"USGS",2250030,"2014-12-03 21:00:00",108,"A","UTC","USGS",2250030,0.23,"A","UTC"
"113",113,"USGS",2250030,"2014-12-03 21:15:00",100,"A","UTC","USGS",2250030,0.24,"A","UTC"
"114",114,"USGS",2250030,"2014-12-03 21:30:00",111,"A","UTC","USGS",2250030,0.24,"A","UTC"
"115",115,"USGS",2250030,"2014-12-03 21:45:00",115,"A","UTC","USGS",2250030,0.24,"A","UTC"
"116",116,"USGS",2250030,"2014-12-03 22:00:00",104,"A","UTC","USGS",2250030,0.22,"A","UTC"
"117",117,"USGS",2250030,"2014-12-03 22:15:00",105,"A","UTC","USGS",2250030,0.23,"A","UTC"
"118",118,"USGS",2250030,"2014-12-03 22:30:00",82.9,"A","UTC","USGS",2250030,0.24,"A","UTC"
"119",119,"USGS",2250030,"2014-12-03 22:45:00",72.1,"A","UTC","USGS",2250030,0.22,"A","UTC"
"120",120,"USGS",2250030,"2014-12-03 23:00:00",72.4,"A","UTC","USGS",2250030,0.25,"A","UTC"
"121",121,"USGS",2250030,"2014-12-03 23:15:00",87.3,"A","UTC","USGS",2250030,0.23,"A","UTC"
"122",122,"USGS",2250030,"2014-12-03 23:30:00",76.4,"A","UTC","USGS",2250030,0.24,"A","UTC"
"123",123,"USGS",2250030,"2014-12-03 23:45:00",76.6,"A","UTC","USGS",2250030,0.24,"A","UTC"
"124",124,"USGS",2250030,"2014-12-04 00:00:00",88.1,"A","UTC","USGS",2250030,0.23,"A","UTC"
"125",125,"USGS",2250030,"2014-12-04 00:15:00",84.5,"A","UTC","USGS",2250030,0.22,"A","UTC"
"126",126,"USGS",2250030,"2014-12-04 00:30:00",80.8,"A","UTC","USGS",2250030,0.24,"A","UTC"
"127",127,"USGS",2250030,"2014-12-04 00:45:00",69.9,"A","UTC","USGS",2250030,0.22,"A","UTC"
"128",128,"USGS",2250030,"2014-12-04 01:00:00",81.3,"A","UTC","USGS",2250030,0.24,"A","UTC"
"129",129,"USGS",2250030,"2014-12-04 01:15:00",74,"A","UTC","USGS",2250030,0.23,"A","UTC"
"130",130,"USGS",2250030,"2014-12-04 01:30:00",81.6,"A","UTC","USGS",2250030,0.24,"A","UTC"
"131",131,"USGS",2250030,"2014-12-04 01:45:00",96.6,"A","UTC","USGS",2250030,0.24,"A","UTC"
"132",132,"USGS",2250030,"2014-12-04 02:00:00",85.2,"A","UTC","USGS",2250030,0.24,"A","UTC"
"133",133,"USGS",2250030,"2014-12-04 02:15:00",92.6,"A","UTC","USGS",2250030,0.25,"A","UTC"
"134",134,"USGS",2250030,"2014-12-04 02:30:00",96.4,"A","UTC","USGS",2250030,0.25,"A","UTC"
"135",135,"USGS",2250030,"2014-12-04 02:45:00",96.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"136",136,"USGS",2250030,"2014-12-04 03:00:00",107,"A","UTC","USGS",2250030,0.24,"A","UTC"
"137",137,"USGS",2250030,"2014-12-04 03:15:00",92.1,"A","UTC","USGS",2250030,0.25,"A","UTC"
"138",138,"USGS",2250030,"2014-12-04 03:30:00",95.8,"A","UTC","USGS",2250030,0.22,"A","UTC"
"139",139,"USGS",2250030,"2014-12-04 03:45:00",77.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"140",140,"USGS",2250030,"2014-12-04 04:00:00",88.2,"A","UTC","USGS",2250030,0.23,"A","UTC"
"141",141,"USGS",2250030,"2014-12-04 04:15:00",103,"A","UTC","USGS",2250030,0.23,"A","UTC"
"142",142,"USGS",2250030,"2014-12-04 04:30:00",99,"A","UTC","USGS",2250030,0.24,"A","UTC"
"143",143,"USGS",2250030,"2014-12-04 04:45:00",110,"A","UTC","USGS",2250030,0.24,"A","UTC"
"144",144,"USGS",2250030,"2014-12-04 05:00:00",102,"A","UTC","USGS",2250030,0.24,"A","UTC"
"145",145,"USGS",2250030,"2014-12-04 05:15:00",110,"A","UTC","USGS",2250030,0.24,"A","UTC"
"146",146,"USGS",2250030,"2014-12-04 05:30:00",102,"A","UTC","USGS",2250030,0.23,"A","UTC"
"147",147,"USGS",2250030,"2014-12-04 05:45:00",98.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"148",148,"USGS",2250030,"2014-12-04 06:00:00",113,"A","UTC","USGS",2250030,0.25,"A","UTC"
"149",149,"USGS",2250030,"2014-12-04 06:15:00",108,"A","UTC","USGS",2250030,0.23,"A","UTC"
"150",150,"USGS",2250030,"2014-12-04 06:30:00",93.4,"A","UTC","USGS",2250030,0.23,"A","UTC"
"151",151,"USGS",2250030,"2014-12-04 06:45:00",89.7,"A","UTC","USGS",2250030,0.22,"A","UTC"
"152",152,"USGS",2250030,"2014-12-04 07:00:00",101,"A","UTC","USGS",2250030,0.24,"A","UTC"
"153",153,"USGS",2250030,"2014-12-04 07:15:00",86.1,"A","UTC","USGS",2250030,0.25,"A","UTC"
"154",154,"USGS",2250030,"2014-12-04 07:30:00",93.5,"A","UTC","USGS",2250030,0.22,"A","UTC"
"155",155,"USGS",2250030,"2014-12-04 07:45:00",85.9,"A","UTC","USGS",2250030,0.23,"A","UTC"
"156",156,"USGS",2250030,"2014-12-04 08:00:00",93.4,"A","UTC","USGS",2250030,0.23,"A","UTC"
"157",157,"USGS",2250030,"2014-12-04 08:15:00",89.7,"A","UTC","USGS",2250030,0.24,"A","UTC"
"158",158,"USGS",2250030,"2014-12-04 08:30:00",78.9,"A","UTC","USGS",2250030,0.25,"A","UTC"
"159",159,"USGS",2250030,"2014-12-04 08:45:00",85.9,"A","UTC","USGS",2250030,0.24,"A","UTC"
"160",160,"USGS",2250030,"2014-12-04 09:00:00",101,"A","UTC","USGS",2250030,0.23,"A","UTC"
"161",161,"USGS",2250030,"2014-12-04 09:15:00",93,"A","UTC","USGS",2250030,0.23,"A","UTC"
"162",162,"USGS",2250030,"2014-12-04 09:30:00",89.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"163",163,"USGS",2250030,"2014-12-04 09:45:00",89.9,"A","UTC","USGS",2250030,0.23,"A","UTC"
"164",164,"USGS",2250030,"2014-12-04 10:00:00",79.1,"A","UTC","USGS",2250030,0.22,"A","UTC"
"165",165,"USGS",2250030,"2014-12-04 10:15:00",64.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"166",166,"USGS",2250030,"2014-12-04 10:30:00",91,"A","UTC","USGS",2250030,0.22,"A","UTC"
"167",167,"USGS",2250030,"2014-12-04 10:45:00",72.7,"A","UTC","USGS",2250030,0.24,"A","UTC"
"168",168,"USGS",2250030,"2014-12-04 11:00:00",80.2,"A","UTC","USGS",2250030,0.25,"A","UTC"
"169",169,"USGS",2250030,"2014-12-04 11:15:00",87.8,"A","UTC","USGS",2250030,0.23,"A","UTC"
"170",170,"USGS",2250030,"2014-12-04 11:30:00",91.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"171",171,"USGS",2250030,"2014-12-04 11:45:00",103,"A","UTC","USGS",2250030,0.24,"A","UTC"
"172",172,"USGS",2250030,"2014-12-04 12:00:00",88.2,"A","UTC","USGS",2250030,0.23,"A","UTC"
"173",173,"USGS",2250030,"2014-12-04 12:15:00",88.3,"A","UTC","USGS",2250030,0.24,"A","UTC"
"174",174,"USGS",2250030,"2014-12-04 12:30:00",77.3,"A","UTC","USGS",2250030,0.24,"A","UTC"
"175",175,"USGS",2250030,"2014-12-04 12:45:00",77.2,"A","UTC","USGS",2250030,0.23,"A","UTC"
"176",176,"USGS",2250030,"2014-12-04 13:00:00",77.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"177",177,"USGS",2250030,"2014-12-04 13:15:00",80.8,"A","UTC","USGS",2250030,0.24,"A","UTC"
"178",178,"USGS",2250030,"2014-12-04 13:30:00",81,"A","UTC","USGS",2250030,0.24,"A","UTC"
"179",179,"USGS",2250030,"2014-12-04 13:45:00",73.3,"A","UTC","USGS",2250030,0.25,"A","UTC"
"180",180,"USGS",2250030,"2014-12-04 14:00:00",58.6,"A","UTC","USGS",2250030,0.23,"A","UTC"
"181",181,"USGS",2250030,"2014-12-04 14:15:00",81.2,"A","UTC","USGS",2250030,0.24,"A","UTC"
"182",182,"USGS",2250030,"2014-12-04 14:30:00",81.2,"A","UTC","USGS",2250030,0.25,"A","UTC"
"183",183,"USGS",2250030,"2014-12-04 14:45:00",77.3,"A","UTC","USGS",2250030,0.23,"A","UTC"
"184",184,"USGS",2250030,"2014-12-04 15:00:00",73.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"185",185,"USGS",2250030,"2014-12-04 15:15:00",69.9,"A","UTC","USGS",2250030,0.23,"A","UTC"
"186",186,"USGS",2250030,"2014-12-04 15:30:00",55.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"187",187,"USGS",2250030,"2014-12-04 15:45:00",81.2,"A","UTC","USGS",2250030,0.25,"A","UTC"
"188",188,"USGS",2250030,"2014-12-04 16:00:00",65.9,"A","UTC","USGS",2250030,0.23,"A","UTC"
"189",189,"USGS",2250030,"2014-12-04 16:15:00",78.7,"A","UTC","USGS",2250030,0.22,"A","UTC"
"190",190,"USGS",2250030,"2014-12-04 16:30:00",91.3,"A","UTC","USGS",2250030,0.24,"A","UTC"
"191",191,"USGS",2250030,"2014-12-04 16:45:00",87.4,"A","UTC","USGS",2250030,0.24,"A","UTC"
"192",192,"USGS",2250030,"2014-12-04 17:00:00",91.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"193",193,"USGS",2250030,"2014-12-04 17:15:00",72.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"194",194,"USGS",2250030,"2014-12-04 17:30:00",72.6,"A","UTC","USGS",2250030,0.23,"A","UTC"
"195",195,"USGS",2250030,"2014-12-04 17:45:00",98.1,"A","UTC","USGS",2250030,0.25,"A","UTC"
"196",196,"USGS",2250030,"2014-12-04 18:00:00",86.6,"A","UTC","USGS",2250030,0.24,"A","UTC"
"197",197,"USGS",2250030,"2014-12-04 18:15:00",61,"A","UTC","USGS",2250030,0.23,"A","UTC"
"198",198,"USGS",2250030,"2014-12-04 18:30:00",79.4,"A","UTC","USGS",2250030,0.22,"A","UTC"
"199",199,"USGS",2250030,"2014-12-04 18:45:00",72,"A","UTC","USGS",2250030,0.25,"A","UTC"
"200",200,"USGS",2250030,"2014-12-04 19:00:00",86.7,"A","UTC","USGS",2250030,0.24,"A","UTC"
"201",201,"USGS",2250030,"2014-12-04 19:15:00",79.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"202",202,"USGS",2250030,"2014-12-04 19:30:00",90,"A","UTC","USGS",2250030,0.24,"A","UTC"
"203",203,"USGS",2250030,"2014-12-04 19:45:00",78.7,"A","UTC","USGS",2250030,0.22,"A","UTC"
"204",204,"USGS",2250030,"2014-12-04 20:00:00",82.4,"A","UTC","USGS",2250030,0.23,"A","UTC"
"205",205,"USGS",2250030,"2014-12-04 20:15:00",56.9,"A","UTC","USGS",2250030,0.24,"A","UTC"
"206",206,"USGS",2250030,"2014-12-04 20:30:00",68.2,"A","UTC","USGS",2250030,0.24,"A","UTC"
"207",207,"USGS",2250030,"2014-12-04 20:45:00",93.8,"A","UTC","USGS",2250030,0.25,"A","UTC"
"208",208,"USGS",2250030,"2014-12-04 21:00:00",78.8,"A","UTC","USGS",2250030,0.22,"A","UTC"
"209",209,"USGS",2250030,"2014-12-04 21:15:00",82.3,"A","UTC","USGS",2250030,0.23,"A","UTC"
"210",210,"USGS",2250030,"2014-12-04 21:30:00",78.9,"A","UTC","USGS",2250030,0.23,"A","UTC"
"211",211,"USGS",2250030,"2014-12-04 21:45:00",90.3,"A","UTC","USGS",2250030,0.23,"A","UTC"
"212",212,"USGS",2250030,"2014-12-04 22:00:00",90.1,"A","UTC","USGS",2250030,0.23,"A","UTC"
"213",213,"USGS",2250030,"2014-12-04 22:15:00",82.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"214",214,"USGS",2250030,"2014-12-04 22:30:00",86.3,"A","UTC","USGS",2250030,0.23,"A","UTC"
"215",215,"USGS",2250030,"2014-12-04 22:45:00",79.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"216",216,"USGS",2250030,"2014-12-04 23:00:00",64.8,"A","UTC","USGS",2250030,0.22,"A","UTC"
"217",217,"USGS",2250030,"2014-12-04 23:15:00",83.2,"A","UTC","USGS",2250030,0.25,"A","UTC"
"218",218,"USGS",2250030,"2014-12-04 23:30:00",65.2,"A","UTC","USGS",2250030,0.23,"A","UTC"
"219",219,"USGS",2250030,"2014-12-04 23:45:00",83.8,"A","UTC","USGS",2250030,0.24,"A","UTC"
"220",220,"USGS",2250030,"2014-12-05 00:00:00",80,"A","UTC","USGS",2250030,0.24,"A","UTC"
"221",221,"USGS",2250030,"2014-12-05 00:15:00",76,"A","UTC","USGS",2250030,0.23,"A","UTC"
"222",222,"USGS",2250030,"2014-12-05 00:30:00",76.2,"A","UTC","USGS",2250030,0.24,"A","UTC"
"223",223,"USGS",2250030,"2014-12-05 00:45:00",65.3,"A","UTC","USGS",2250030,0.25,"A","UTC"
"224",224,"USGS",2250030,"2014-12-05 01:00:00",61.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"225",225,"USGS",2250030,"2014-12-05 01:15:00",65.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"226",226,"USGS",2250030,"2014-12-05 01:30:00",62,"A","UTC","USGS",2250030,0.23,"A","UTC"
"227",227,"USGS",2250030,"2014-12-05 01:45:00",66,"A","UTC","USGS",2250030,0.23,"A","UTC"
"228",228,"USGS",2250030,"2014-12-05 02:00:00",81.2,"A","UTC","USGS",2250030,0.22,"A","UTC"
"229",229,"USGS",2250030,"2014-12-05 02:15:00",81.2,"A","UTC","USGS",2250030,0.23,"A","UTC"
"230",230,"USGS",2250030,"2014-12-05 02:30:00",62.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"231",231,"USGS",2250030,"2014-12-05 02:45:00",84.6,"A","UTC","USGS",2250030,0.23,"A","UTC"
"232",232,"USGS",2250030,"2014-12-05 03:00:00",69.8,"A","UTC","USGS",2250030,0.25,"A","UTC"
"233",233,"USGS",2250030,"2014-12-05 03:15:00",62.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"234",234,"USGS",2250030,"2014-12-05 03:30:00",73.9,"A","UTC","USGS",2250030,0.23,"A","UTC"
"235",235,"USGS",2250030,"2014-12-05 03:45:00",92.6,"A","UTC","USGS",2250030,0.24,"A","UTC"
"236",236,"USGS",2250030,"2014-12-05 04:00:00",107,"A","UTC","USGS",2250030,0.23,"A","UTC"
"237",237,"USGS",2250030,"2014-12-05 04:15:00",80.2,"A","UTC","USGS",2250030,0.25,"A","UTC"
